GB_Date,Return_Rfree
2021/1/12,0.33
2021/1/11,0.3401
2021/1/8,0.3401
2021/1/7,0.3066
2021/1/6,0.2938
2021/1/5,0.2733
2021/1/4,0.2889
2020/12/31,0.315
2020/12/30,0.314
2020/12/29,0.3253
2020/12/28,0.3228
2020/12/25,0.315
2020/12/24,0.313
2020/12/23,0.275
2020/12/22,0.29
2020/12/21,0.2829
2020/12/18,0.2829
2020/12/17,0.27
2020/12/16,0.27
2020/12/15,0.2723
2020/12/14,0.2793
2020/12/11,0.2853
2020/12/10,0.32
2020/12/9,0.3275
2020/12/8,0.3124
2020/12/7,0.3107
2020/12/4,0.2841
2020/12/3,0.2841
2020/12/2,0.2405
2020/12/1,0.2405
2020/11/30,0.2405
2020/11/27,0.2405
2020/11/26,0.2405
2020/11/25,0.25
2020/11/24,0.2699
2020/11/23,0.2699
2020/11/20,0.2699
2020/11/19,0.2699
2020/11/18,0.2699
2020/11/17,0.2907
2020/11/16,0.2907
2020/11/13,0.2907
2020/11/12,0.2907
2020/11/11,0.2907
2020/11/10,0.2907
2020/11/9,0.2907
2020/11/6,0.2907
2020/11/5,0.2907
2020/11/4,0.2952
2020/11/3,0.2952
2020/11/2,0.2952
2020/10/30,0.2952
2020/10/29,0.2952
2020/10/28,0.2952
2020/10/27,0.3096
2020/10/26,0.3096
2020/10/23,0.3096
2020/10/22,0.3096
2020/10/21,0.3071
2020/10/20,0.302
2020/10/19,0.302
2020/10/16,0.3021
2020/10/15,0.301
2020/10/14,0.301
2020/10/13,0.3038
2020/10/12,0.3344
2020/10/8,0.3579
2020/10/7,0.3739
2020/10/6,0.386
2020/10/5,0.3864
2020/9/30,0.4007
2020/9/29,0.4007
2020/9/28,0.4088
2020/9/25,0.4202
2020/9/24,0.4202
2020/9/23,0.3967
2020/9/22,0.3909
2020/9/21,0.3917
2020/9/18,0.3896
2020/9/17,0.3928
2020/9/16,0.4015
2020/9/15,0.412
2020/9/14,0.413
2020/9/11,0.4132
2020/9/10,0.4179
2020/9/9,0.4206
2020/9/8,0.4238
2020/9/7,0.4288
2020/9/4,0.4218
2020/9/3,0.4169
2020/9/2,0.4105
2020/9/1,0.4145
2020/8/31,0.4197
2020/8/28,0.4282
2020/8/27,0.4077
2020/8/26,0.4196
2020/8/25,0.4036
2020/8/24,0.3968
2020/8/21,0.3942
2020/8/20,0.3927
2020/8/19,0.3911
2020/8/18,0.3962
2020/8/17,0.402
2020/8/14,0.4028
2020/8/13,0.3927
2020/8/12,0.3829
2020/8/11,0.3769
2020/8/10,0.3873
2020/8/7,0.391
2020/8/6,0.3982
2020/8/5,0.3996
2020/8/4,0.408
2020/8/3,0.4057
2020/7/31,0.4106
2020/7/30,0.4173
2020/7/29,0.4205
2020/7/28,0.4263
2020/7/27,0.4237
2020/7/24,0.4204
2020/7/23,0.4259
2020/7/22,0.4351
2020/7/21,0.4384
2020/7/20,0.435
2020/7/17,0.4435
2020/7/16,0.4499
2020/7/15,0.4518
2020/7/14,0.4518
2020/7/13,0.451
2020/7/10,0.451
2020/7/9,0.455
2020/7/8,0.4522
2020/7/7,0.45
2020/7/6,0.4503
2020/7/3,0.4503
2020/7/2,0.4551
2020/7/1,0.457
2020/6/30,0.45
2020/6/29,0.4479
2020/6/24,0.4541
2020/6/23,0.4541
2020/6/22,0.4549
2020/6/19,0.4543
2020/6/18,0.4455
2020/6/17,0.4563
2020/6/16,0.4622
2020/6/15,0.4574
2020/6/12,0.4503
2020/6/11,0.4548
2020/6/10,0.4605
2020/6/9,0.462
2020/6/8,0.4819
2020/6/5,0.4757
2020/6/4,0.4691
2020/6/3,0.4672
2020/6/2,0.4573
2020/6/1,0.4547
2020/5/29,0.4533
2020/5/28,0.4559
2020/5/27,0.463
2020/5/26,0.4604
2020/5/25,0.45
2020/5/22,0.4538
2020/5/21,0.4631
2020/5/20,0.4755
2020/5/19,0.475
2020/5/18,0.4578
2020/5/15,0.4578
2020/5/14,0.4615
2020/5/13,0.4656
2020/5/12,0.4696
2020/5/11,0.4711
2020/5/8,0.4703
2020/5/7,0.4871
2020/5/6,0.4778
2020/5/5,0.4718
2020/5/4,0.4728
2020/4/30,0.48
2020/4/29,0.475
2020/4/28,0.4773
2020/4/27,0.4601
2020/4/24,0.449
2020/4/23,0.4689
2020/4/22,0.472
2020/4/21,0.4858
2020/4/20,0.4964
2020/4/17,0.5032
2020/4/16,0.4889
2020/4/15,0.5075
2020/4/14,0.5106
2020/4/13,0.5082
2020/4/10,0.5117
2020/4/9,0.5117
2020/4/8,0.5143
2020/4/7,0.4885
2020/4/6,0.4655
2020/4/1,0.4655
2020/3/31,0.48
2020/3/30,0.4942
2020/3/27,0.4942
2020/3/26,0.5242
2020/3/25,0.5484
2020/3/24,0.4931
2020/3/23,0.4811
2020/3/20,0.5282
2020/3/19,0.6715
2020/3/18,0.562
2020/3/17,0.5114
2020/3/16,0.4685
2020/3/13,0.4799
2020/3/12,0.4385
2020/3/11,0.4516
2020/3/10,0.4611
2020/3/9,0.4365
2020/3/6,0.4776
