股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2412,107/07/09,"3,985,303","446,087,436",112.0,112.5,111.5,112.0,0,"2,136"
2412,107/07/10,"5,509,389","618,544,568",112.0,112.5,112.0,112.5,0.5,"2,338"
2412,107/07/11,"5,909,458","660,818,296",112.0,112.5,111.5,112.0,-0.5,"2,742"
2412,107/07/12,"6,085,003","678,500,315",111.5,112.0,111.0,111.5,-0.5,"1,822"
2412,107/07/13,"5,586,401","621,773,181",111.5,111.5,111.0,111.5,0,"1,816"
2412,107/08/09,"9,040,183","965,283,081",107.0,107.5,106.5,107.0,0,"4,090"
2412,107/08/10,"7,349,998","785,209,742",107.0,107.5,106.5,107.5,0.5,"2,795"
2412,107/08/13,"7,482,698","798,317,686",107.0,107.5,106.5,106.5,-1,"2,977"
2412,107/08/14,"9,073,485","968,521,895",107.0,107.0,106.5,107.0,0.5,"3,408"
2412,107/08/15,"10,726,372","1,146,539,804",106.5,107.5,106.5,107.0,0,"3,391"
2412,107/09/10,"11,367,017","1,233,941,267",108.0,109.0,108.0,108.5,0.5,"5,761"
2412,107/09/11,"15,396,852","1,684,662,720",108.5,110.0,108.5,110.0,1.5,"5,960"
2412,107/09/12,"12,095,889","1,333,602,790",110.0,110.5,109.5,110.0,0,"5,729"
2412,107/09/13,"7,442,732","813,837,124",109.5,110.0,109.0,109.5,-0.5,"3,465"
2412,107/09/14,"7,837,764","852,340,776",109.0,109.5,108.5,108.5,-1,"3,975"
2412,107/10/08,"6,160,646","669,635,914",109.0,109.0,108.0,108.5,-0.5,"3,005"
2412,107/10/09,"8,693,012","949,486,264",108.5,110.0,108.5,109.5,1,"3,460"
2412,107/10/11,"25,740,666","2,796,399,686",108.0,109.5,108.0,108.5,-1,"10,079"
2412,107/10/12,"15,456,470","1,662,045,949",108.0,108.0,107.0,108.0,-0.5,"5,584"
2412,107/10/15,"12,580,518","1,343,739,635",107.5,107.5,106.5,106.5,-1.5,"5,394"
2412,107/11/09,"3,425,196","367,157,972",107.0,107.5,106.5,107.0,0,"2,184"
2412,107/11/12,"6,529,612","698,636,984",107.0,107.5,106.5,106.5,-0.5,"2,159"
2412,107/11/13,"7,318,324","776,894,668",106.0,107.0,105.5,107.0,0.5,"2,940"
2412,107/11/14,"5,348,291","571,123,637",107.0,107.0,106.5,107.0,0,"2,599"
2412,107/11/15,"10,448,823","1,114,624,438",107.5,108.0,106.0,107.0,0,"3,643"
