股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2454,107/07/09,"7,374,647","2,027,096,778",278.0,279.5,271.0,272.5,X0.00,"4,583"
2454,107/07/10,"4,904,871","1,362,518,190",274.5,280.0,274.0,280.0,7.5,"3,345"
2454,107/07/11,"3,684,846","1,015,965,751",277.0,278.5,273.5,276.0,-4,"2,643"
2454,107/07/12,"4,540,240","1,279,941,160",276.0,285.0,276.0,283.0,7,"3,322"
2454,107/07/13,"3,578,038","1,018,138,368",281.5,286.0,281.0,285.0,2,"2,540"
2454,107/08/09,"3,355,805","922,400,769",276.0,276.5,272.0,275.0,-2.5,"2,282"
2454,107/08/10,"2,071,377","569,773,832",272.5,276.5,272.5,274.5,-0.5,"1,461"
2454,107/08/13,"5,137,482","1,352,335,230",265.0,268.5,258.0,263.5,-11,"3,965"
2454,107/08/14,"2,505,500","664,664,243",263.5,267.0,263.5,265.0,1.5,"1,979"
2454,107/08/15,"2,362,251","617,604,011",263.5,264.0,260.0,260.0,-5,"2,068"
2454,107/09/10,"8,970,148","2,193,348,260",249.0,251.0,238.0,242.5,-5.5,"4,666"
2454,107/09/11,"5,581,726","1,359,517,395",246.0,247.0,241.0,244.0,1.5,"3,612"
2454,107/09/12,"3,333,026","812,170,844",246.5,246.5,242.0,244.0,0,"2,629"
2454,107/09/13,"3,492,346","851,245,237",245.5,245.5,242.0,242.0,-2,"2,298"
2454,107/09/14,"3,522,752","862,165,992",244.5,246.5,243.0,245.5,3.5,"2,656"
2454,107/10/08,"7,119,698","1,665,116,439",234.5,235.5,232.5,233.5,-1,"2,975"
2454,107/10/09,"6,597,219","1,520,567,020",234.0,234.5,228.5,228.5,-5,"3,123"
2454,107/10/11,"18,592,317","3,875,921,696",207.5,210.5,207.0,210.5,-18,"9,016"
2454,107/10/12,"7,413,236","1,608,345,392",210.0,221.0,210.0,220.0,9.5,"4,611"
2454,107/10/15,"7,507,028","1,664,516,555",218.5,226.5,216.0,221.0,1,"4,284"
2454,107/11/09,"4,588,760","1,051,158,040",234.5,234.5,226.5,228.5,-6.5,"3,007"
2454,107/11/12,"5,490,588","1,278,727,842",228.0,235.5,227.0,234.5,6,"3,026"
2454,107/11/13,"4,337,995","996,457,340",227.5,234.0,226.5,231.0,-3.5,"3,002"
2454,107/11/14,"2,607,260","602,412,800",231.0,233.0,229.0,230.0,-1,"1,885"
2454,107/11/15,"3,910,993","905,920,872",231.5,235.0,229.5,231.5,1.5,"1,955"
